,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
95,269.3874232,-30.7194022,17h57m32.98s,-30d43m09.85s,0.0433,0.0435,-0.0124,10.73,0.037,29.5,33.31,8.927,0.016,68.5,5.844,1,0,,,5,57833.20170433,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.536761,87.001323
96,269.3878844,-30.7193493,17h57m33.09s,-30d43m09.66s,0.0387,0.037,0.0047,10.609,0.023,47.7,28.31,8.957,0.017,63.2,33.74,1,0,,,5,57833.20183169,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956506,12.395,0.0473,11.425,0.0458,11.084,0.0428,1.975493,83.64937
97,269.3874355,-30.7194292,17h57m32.98s,-30d43m09.95s,0.0503,0.0545,-0.0163,10.754,0.038,28.6,19.1,8.95,0.02,54.4,4.161,1,0,,,5,57833.33273572,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.578243,96.865325
98,269.3874256,-30.7194619,17h57m32.98s,-30d43m10.06s,0.04,0.0433,-0.0043,10.73,0.041,26.2,36.33,8.94,0.015,71.7,10.96,1,0,,,10,57833.46363979,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.574678,108.973041
99,269.3874633,-30.7194339,17h57m32.99s,-30d43m09.96s,0.0375,0.0405,-0.0108,10.745,0.033,32.5,33.85,8.876,0.016,67.0,7.757,1,0,,,5,57833.46376716,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.665713,97.426003
100,269.3874828,-30.7194219,17h57m33.00s,-30d43m09.92s,0.0416,0.0373,-0.0122,10.761,0.033,32.8,26.59,8.928,0.015,73.8,6.457,1,0,,,5,57833.52921918,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.72175,93.402881
101,269.387439,-30.7193942,17h57m32.99s,-30d43m09.82s,0.0382,0.0557,-0.017,10.922,0.035,31.5,34.0,8.903,0.018,60.6,8.764,1,0,,,5,57833.59467119,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.587682,84.445892
102,269.3875538,-30.7194155,17h57m33.01s,-30d43m09.90s,0.0487,0.0522,-0.0151,10.702,0.03,35.6,26.12,8.909,0.018,60.6,7.952,1,0,,,5,57833.66012321,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.940422,91.206493
103,269.3875431,-30.7194356,17h57m33.01s,-30d43m09.97s,0.0559,0.0606,0.0122,10.727,0.036,30.5,16.5,8.927,0.021,52.1,6.133,1,0,,,5,57833.72557522,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.911768,95.80134
104,269.3874212,-30.7194917,17h57m32.98s,-30d43m10.17s,0.0509,0.054,-0.0322,10.717,0.062,17.6,10.35,8.876,0.019,56.3,6.146,1,0,,,5,57833.72570258,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.605995,119.035303
